"YEAR","MONTH","LIP","LCPI","NEER","GS3M","GS6M","GS1","GS3"
2014,1,450.211276387433,460.591010463081,403.628432950918,2.79045454545455,2.81590909090909,2.91318181818182,3.88727272727273
2014,2,451.313823388603,460.664947619868,405.838402662015,3.011,3.0105,3.253,4.8655
2014,3,452.295828006701,460.886431652823,406.091489630485,2.82714285714286,2.83428571428571,3.12095238095238,4.71428571428571
2014,4,453.05299765979,460.960150786276,404.974882282388,2.6265,2.654,2.915,4.41
2014,5,452.621031545339,460.81265813417,404.30602791359,2.389,2.4115,2.44,3.6895
2014,6,456.130163526466,460.886431652823,404.98481878446,2.289,2.282,2.2855,3.128
2014,7,457.890954745424,461.033815614653,406.081178101115,1.95521739130435,1.97826086956522,2.02869565217391,3.09695652173913
2014,8,451.969563443219,460.81265813417,407.184164000502,1.554,1.6485,1.8355,3.4035
2014,9,454.337811907575,460.591010463081,407.192007730857,1.37727272727273,1.45227272727273,1.64090909090909,3.18681818181818
2014,10,451.423412440667,460.368870423565,405.768231187057,1.42571428571429,1.5447619047619,1.61571428571429,2.94380952380952
2014,11,455.606327860307,459.997536911099,405.316794411323,1.708,1.7405,1.7115,2.7125
2014,12,454.018152605012,459.325641886224,406.270406240336,1.42894736842105,1.51526315789474,1.56578947368421,2.67947368421053
2015,1,458.09608302248,459.100669912823,408.530198547369,1.664,1.574,1.719,2.2995
2015,2,456.755165560983,459.624819371906,406.365948942527,1.6425,1.576,1.6345,2.15
2015,3,459.822890785688,460.220502443826,405.902934631945,1.55681818181818,1.61727272727273,1.63772727272727,2.15318181818182
2015,4,459.419257543442,460.591010463081,405.051989295659,1.514,1.5085,1.585,2.127
2015,5,458.708955216617,461.327933473735,406.54389092139,1.43473684210526,1.42421052631579,1.49631578947368,2.35157894736842
2015,6,460.824903177364,461.47466864313,407.920579412328,1.09090909090909,1.09,1.10409090909091,2.13227272727273
2015,7,461.915642796283,461.47466864313,407.979512330733,0.935217391304348,0.927391304347826,0.947826086956522,2.07913043478261
2015,8,458.09608302248,460.886431652823,407.701288080287,0.826315789473684,0.828421052631579,0.846315789473684,2.18105263157895
2015,9,462.014213528759,460.220502443826,408.042350245153,0.432272727272727,0.440909090909091,0.518636363636364,1.78636363636364
2015,10,462.603606197637,460.517018598809,407.579740052508,0.562380952380952,0.544285714285714,0.580952380952381,1.68142857142857
